               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 104,            0.051524,             0.03586,            0.003045,             0.94925,             0.64444,              0.8095,             0.62869,             0.04494,            0.031869,            0.002914,            0.006601,            0.006601,            0.006601
                 105,            0.053469,            0.033731,           0.0044118,             0.90692,             0.64444,             0.80296,             0.56551,            0.047732,            0.034546,           0.0030937,            0.006568,            0.006568,            0.006568
                 106,            0.049021,            0.038624,           0.0024968,             0.94072,             0.65749,             0.72461,             0.56113,            0.035825,            0.033857,           0.0032687,            0.006535,            0.006535,            0.006535
                 107,            0.051968,            0.036616,           0.0026534,             0.59811,             0.83333,             0.80308,             0.60799,            0.042837,            0.034214,           0.0029659,            0.006502,            0.006502,            0.006502
                 108,            0.050558,            0.032664,           0.0027785,             0.61016,             0.83333,             0.92437,             0.64851,            0.038543,            0.032903,           0.0025773,            0.006469,            0.006469,            0.006469
                 109,            0.051107,            0.032659,           0.0033552,             0.92016,             0.64444,             0.81656,             0.56066,            0.040268,            0.033418,           0.0025234,            0.006436,            0.006436,            0.006436
                 110,            0.049278,            0.032093,            0.002955,             0.93337,             0.66667,             0.81751,             0.62611,            0.044789,            0.033125,           0.0024612,            0.006403,            0.006403,            0.006403
                 111,            0.048534,            0.030612,           0.0030447,             0.96753,             0.66432,             0.64999,             0.52685,             0.03909,            0.034511,           0.0030172,             0.00637,             0.00637,             0.00637
                 112,            0.052911,            0.034146,           0.0024113,             0.96402,             0.66667,             0.64849,             0.46579,            0.037934,            0.035351,           0.0031312,            0.006337,            0.006337,            0.006337
                 113,            0.049667,            0.030904,           0.0036933,             0.96883,             0.66178,             0.65109,             0.48312,             0.03666,            0.034797,           0.0028749,            0.006304,            0.006304,            0.006304
                 114,            0.052164,            0.030104,           0.0027846,              0.9633,             0.64444,             0.68297,             0.49126,            0.043323,            0.033705,           0.0026817,            0.006271,            0.006271,            0.006271
                 115,            0.048788,            0.032477,           0.0030391,             0.93985,             0.64444,             0.80476,             0.60792,            0.041002,            0.032887,            0.002501,            0.006238,            0.006238,            0.006238
                 116,            0.049589,            0.035201,           0.0031576,             0.96489,             0.64444,             0.80927,             0.62939,            0.039067,            0.031717,           0.0024867,            0.006205,            0.006205,            0.006205
                 117,            0.049961,              0.0332,           0.0028743,             0.76481,             0.64444,             0.68858,             0.44476,            0.040261,            0.032432,           0.0024695,            0.006172,            0.006172,            0.006172
                 118,            0.050372,             0.03445,           0.0027701,             0.96912,             0.63663,             0.81173,             0.64833,            0.041303,            0.030814,           0.0025792,            0.006139,            0.006139,            0.006139
                 119,            0.049341,            0.031794,           0.0024652,             0.97191,             0.65891,             0.81532,             0.60025,            0.040666,             0.03041,           0.0027428,            0.006106,            0.006106,            0.006106
                 120,            0.053209,            0.034895,           0.0030659,             0.96822,             0.64444,             0.80943,             0.66249,             0.03523,            0.030475,           0.0030031,            0.006073,            0.006073,            0.006073
                 121,            0.050256,            0.031848,           0.0033376,             0.97133,             0.65944,             0.81571,             0.65059,            0.035953,            0.030443,           0.0029683,             0.00604,             0.00604,             0.00604
                 122,            0.051906,            0.036199,           0.0046265,               0.973,             0.65562,             0.70511,             0.59397,            0.035379,            0.030258,           0.0031319,            0.006007,            0.006007,            0.006007
                 123,            0.051443,            0.038318,           0.0029699,             0.97351,              0.6406,              0.6713,             0.55035,            0.035671,            0.031291,           0.0032878,            0.005974,            0.005974,            0.005974
                 124,            0.048225,            0.033763,           0.0026743,              0.9653,             0.64444,             0.65609,             0.50819,            0.037276,            0.032797,           0.0036359,            0.005941,            0.005941,            0.005941
                 125,            0.050625,            0.036862,           0.0026165,             0.96486,             0.64444,             0.65783,             0.54452,            0.037146,            0.032912,           0.0036469,            0.005908,            0.005908,            0.005908
                 126,            0.047412,            0.035213,           0.0029685,             0.96846,             0.64444,              0.6869,              0.5324,            0.034119,            0.032192,           0.0035181,            0.005875,            0.005875,            0.005875
                 127,            0.047928,            0.033649,           0.0022427,             0.95381,             0.62222,             0.64965,             0.49597,            0.037635,            0.033645,           0.0034568,            0.005842,            0.005842,            0.005842
                 128,             0.04836,            0.035582,           0.0029052,             0.95965,             0.62222,             0.80776,             0.64111,            0.037914,            0.031205,           0.0026109,            0.005809,            0.005809,            0.005809
                 129,            0.048454,            0.034485,           0.0041649,             0.71312,             0.96695,             0.96672,             0.70536,            0.037686,            0.027538,           0.0018389,            0.005776,            0.005776,            0.005776
                 130,            0.044563,            0.033622,           0.0025783,             0.71784,             0.99662,             0.96929,             0.62311,            0.042225,            0.026485,           0.0015557,            0.005743,            0.005743,            0.005743
                 131,            0.048271,            0.035515,           0.0027989,             0.70043,                   1,             0.96679,             0.71599,            0.039804,             0.02665,           0.0015655,             0.00571,             0.00571,             0.00571
                 132,            0.047447,             0.03116,           0.0030812,             0.69723,             0.93132,             0.96886,             0.64753,            0.036952,            0.029123,           0.0018225,            0.005677,            0.005677,            0.005677
                 133,            0.050222,            0.031903,           0.0023675,             0.94517,             0.62222,             0.71974,             0.56753,            0.038814,            0.033881,           0.0026765,            0.005644,            0.005644,            0.005644
